"","INSECT","STAGE_START","STAGE_END","NOTES","paint","days.after.paint","quad","exposure","treatment","exp.time","date","status","QUAD","alive","knockdown","dead","unviable","living"
"1","01H-5A-1-01","5","5","","5A",1,"1","01H-5A","01H-5A-1","01H",2015-09-11,"A",1,1,0,0,0,1
"2","01H-5A-1-02","4","4","","5A",1,"1","01H-5A","01H-5A-1","01H",2015-09-11,"K",1,0,1,0,1,1
"3","01H-5A-1-03","AF","AF","","5A",1,"1","01H-5A","01H-5A-1","01H",2015-09-11,"K",1,0,1,0,1,1
"4","01H-5A-1-04","5","5","","5A",1,"1","01H-5A","01H-5A-1","01H",2015-09-11,"K",1,0,1,0,1,1
"5","01H-5A-1-05","5","5","","5A",1,"1","01H-5A","01H-5A-1","01H",2015-09-11,"K",1,0,1,0,1,1
"6","01H-5A-1-06","5","5","","5A",1,"1","01H-5A","01H-5A-1","01H",2015-09-11,"K",1,0,1,0,1,1
"7","01H-5A-1-07","5","5","","5A",1,"1","01H-5A","01H-5A-1","01H",2015-09-11,"A",1,1,0,0,0,1
"8","01H-5A-1-08","5","5","","5A",1,"1","01H-5A","01H-5A-1","01H",2015-09-11,"A",1,1,0,0,0,1
"9","01H-5A-1-09","5","5","","5A",1,"1","01H-5A","01H-5A-1","01H",2015-09-11,"K",1,0,1,0,1,1
"10","01H-5A-1-10","5","5","","5A",1,"1","01H-5A","01H-5A-1","01H",2015-09-11,"K",1,0,1,0,1,1
"11","01H-5A-1-11","5","5","","5A",1,"1","01H-5A","01H-5A-1","01H",2015-09-11,"A",1,1,0,0,0,1
"12","01H-5A-2-01","5","5","","5A",1,"2","01H-5A","01H-5A-1","01H",2015-09-11,"A",2,1,0,0,0,1
"13","01H-5A-2-02","5","5","","5A",1,"2","01H-5A","01H-5A-1","01H",2015-09-11,"K",2,0,1,0,1,1
"14","01H-5A-2-03","4","4","","5A",1,"2","01H-5A","01H-5A-1","01H",2015-09-11,"A",2,1,0,0,0,1
"15","01H-5A-2-04","5","5","","5A",1,"2","01H-5A","01H-5A-1","01H",2015-09-11,"A",2,1,0,0,0,1
"16","01H-5A-2-05","5","5","","5A",1,"2","01H-5A","01H-5A-1","01H",2015-09-11,"K",2,0,1,0,1,1
"17","01H-5A-2-06","AF","AF","","5A",1,"2","01H-5A","01H-5A-1","01H",2015-09-11,"K",2,0,1,0,1,1
"18","01H-5A-2-07","4","4","","5A",1,"2","01H-5A","01H-5A-1","01H",2015-09-11,"K",2,0,1,0,1,1
"19","01H-5A-2-08","5","5","","5A",1,"2","01H-5A","01H-5A-1","01H",2015-09-11,"K",2,0,1,0,1,1
"20","01H-5A-2-09","AF","AF","","5A",1,"2","01H-5A","01H-5A-1","01H",2015-09-11,"K",2,0,1,0,1,1
"21","01H-5A-2-10","5","5","","5A",1,"2","01H-5A","01H-5A-1","01H",2015-09-11,"K",2,0,1,0,1,1
"22","01H-5A-2-11","5","5","","5A",1,"2","01H-5A","01H-5A-1","01H",2015-09-11,"A",2,1,0,0,0,1
"23","01H-5A-3-01","5","5","","5A",1,"3","01H-5A","01H-5A-1","01H",2015-09-11,"K",3,0,1,0,1,1
"24","01H-5A-3-02","5","5","","5A",1,"3","01H-5A","01H-5A-1","01H",2015-09-11,"K",3,0,1,0,1,1
"25","01H-5A-3-03","5","5","","5A",1,"3","01H-5A","01H-5A-1","01H",2015-09-11,"A",3,1,0,0,0,1
"26","01H-5A-3-04","AM","AM","","5A",1,"3","01H-5A","01H-5A-1","01H",2015-09-11,"A",3,1,0,0,0,1
"27","01H-5A-3-05","AF","AF","2 eggs on 9/18 (3, 1ST INSARS AT END)","5A",1,"3","01H-5A","01H-5A-1","01H",2015-09-11,"A",3,1,0,0,0,1
"28","01H-5A-3-06","AM","AM","","5A",1,"3","01H-5A","01H-5A-1","01H",2015-09-11,"A",3,1,0,0,0,1
"29","01H-5A-3-07","5","5","","5A",1,"3","01H-5A","01H-5A-1","01H",2015-09-11,"A",3,1,0,0,0,1
"30","01H-5A-3-08","5","5","","5A",1,"3","01H-5A","01H-5A-1","01H",2015-09-11,"K",3,0,1,0,1,1
"31","01H-5A-3-09","5","5","","5A",1,"3","01H-5A","01H-5A-1","01H",2015-09-11,"A",3,1,0,0,0,1
"32","01H-5A-3-10","5","5","","5A",1,"3","01H-5A","01H-5A-1","01H",2015-09-11,"K",3,0,1,0,1,1
"33","01H-5A-3-11","5","5","","5A",1,"3","01H-5A","01H-5A-1","01H",2015-09-11,"K",3,0,1,0,1,1
"34","01H-5A-4-01","5","5","","5A",1,"4","01H-5A","01H-5A-1","01H",2015-09-11,"A",4,1,0,0,0,1
"35","01H-5A-4-02","5","5","","5A",1,"4","01H-5A","01H-5A-1","01H",2015-09-11,"K",4,0,1,0,1,1
"36","01H-5A-4-03","5","5","","5A",1,"4","01H-5A","01H-5A-1","01H",2015-09-11,"K",4,0,1,0,1,1
"37","01H-5A-4-04","4","4","","5A",1,"4","01H-5A","01H-5A-1","01H",2015-09-11,"A",4,1,0,0,0,1
"38","01H-5A-4-05","5","5","","5A",1,"4","01H-5A","01H-5A-1","01H",2015-09-11,"A",4,1,0,0,0,1
"39","01H-5A-4-06","5","5","","5A",1,"4","01H-5A","01H-5A-1","01H",2015-09-11,"A",4,1,0,0,0,1
"40","01H-5A-4-07","AM","AM","","5A",1,"4","01H-5A","01H-5A-1","01H",2015-09-11,"A",4,1,0,0,0,1
"41","01H-5A-4-08","AM","AM","","5A",1,"4","01H-5A","01H-5A-1","01H",2015-09-11,"K",4,0,1,0,1,1
"42","01H-5A-4-09","AM","AM","","5A",1,"4","01H-5A","01H-5A-1","01H",2015-09-11,"K",4,0,1,0,1,1
"43","01H-5A-4-10","5","AF","Molting on 9/12","5A",1,"4","01H-5A","01H-5A-1","01H",2015-09-11,"K",4,0,1,0,1,1
"44","01H-5A-4-11","AF","AF","","5A",1,"4","01H-5A","01H-5A-1","01H",2015-09-11,"K",4,0,1,0,1,1
"45","01H-CO-1-01","5","5","","CO",1,"1","01H-CO","01H-CO-1","01H",2015-09-11,"A",1,1,0,0,0,1
"46","01H-CO-1-02","5","5","","CO",1,"1","01H-CO","01H-CO-1","01H",2015-09-11,"A",1,1,0,0,0,1
"47","01H-CO-1-03","AF","AF","","CO",1,"1","01H-CO","01H-CO-1","01H",2015-09-11,"A",1,1,0,0,0,1
"48","01H-CO-1-04","5","5","","CO",1,"1","01H-CO","01H-CO-1","01H",2015-09-11,"A",1,1,0,0,0,1
"49","01H-CO-1-05","AF","AF","","CO",1,"1","01H-CO","01H-CO-1","01H",2015-09-11,"A",1,1,0,0,0,1
"50","01H-CO-1-06","AF","AF","3 eggs on 9/18and on 3 1st Instars","CO",1,"1","01H-CO","01H-CO-1","01H",2015-09-11,"A",1,1,0,0,0,1
"51","01H-CO-1-07","5","5","","CO",1,"1","01H-CO","01H-CO-1","01H",2015-09-11,"A",1,1,0,0,0,1
"52","01H-CO-1-08","AM","AM","","CO",1,"1","01H-CO","01H-CO-1","01H",2015-09-11,"A",1,1,0,0,0,1
"53","01H-CO-1-09","5","5","","CO",1,"1","01H-CO","01H-CO-1","01H",2015-09-11,"A",1,1,0,0,0,1
"54","01H-CO-1-10","5","5","","CO",1,"1","01H-CO","01H-CO-1","01H",2015-09-11,"A",1,1,0,0,0,1
"55","01H-CO-1-11","4","4","","CO",1,"1","01H-CO","01H-CO-1","01H",2015-09-11,"A",1,1,0,0,0,1
"56","01H-CO-1-12","AF","AF","2 eggs on 9/18, 2 1st instars","CO",1,"1","01H-CO","01H-CO-1","01H",2015-09-11,"A",1,1,0,0,0,1
"57","01H-CO-2-01","4","4","","CO",1,"2","01H-CO","01H-CO-1","01H",2015-09-11,"A",2,1,0,0,0,1
"58","01H-CO-2-02","4","4","","CO",1,"2","01H-CO","01H-CO-1","01H",2015-09-11,"A",2,1,0,0,0,1
"59","01H-CO-2-03","AM","AM","","CO",1,"2","01H-CO","01H-CO-1","01H",2015-09-11,"A",2,1,0,0,0,1
"60","01H-CO-2-04","AM","AM","","CO",1,"2","01H-CO","01H-CO-1","01H",2015-09-11,"A",2,1,0,0,0,1
"61","01H-CO-2-05","5","5","","CO",1,"2","01H-CO","01H-CO-1","01H",2015-09-11,"A",2,1,0,0,0,1
"62","01H-CO-2-06","4","4","","CO",1,"2","01H-CO","01H-CO-1","01H",2015-09-11,"A",2,1,0,0,0,1
"63","01H-CO-2-07","5","AF","Molting on 9/12","CO",1,"2","01H-CO","01H-CO-1","01H",2015-09-11,"A",2,1,0,0,0,1
"64","01H-CO-2-08","AM","AM","","CO",1,"2","01H-CO","01H-CO-1","01H",2015-09-11,"A",2,1,0,0,0,1
"65","01H-CO-2-09","5","5","","CO",1,"2","01H-CO","01H-CO-1","01H",2015-09-11,"A",2,1,0,0,0,1
"66","01H-CO-2-10","5","5","","CO",1,"2","01H-CO","01H-CO-1","01H",2015-09-11,"A",2,1,0,0,0,1
"67","01H-CO-2-11","5","5","","CO",1,"2","01H-CO","01H-CO-1","01H",2015-09-11,"A",2,1,0,0,0,1
"68","01H-CO-2-12","AF","AF","","CO",1,"2","01H-CO","01H-CO-1","01H",2015-09-11,"A",2,1,0,0,0,1
"69","01H-CO-3-01","5","5","","CO",1,"3","01H-CO","01H-CO-1","01H",2015-09-11,"A",3,1,0,0,0,1
"70","01H-CO-3-02","5","5","","CO",1,"3","01H-CO","01H-CO-1","01H",2015-09-11,"A",3,1,0,0,0,1
"71","01H-CO-3-03","AF","AF","2 eggs and 1st instars on 9/18","CO",1,"3","01H-CO","01H-CO-1","01H",2015-09-11,"A",3,1,0,0,0,1
"72","01H-CO-3-04","AM","AM","","CO",1,"3","01H-CO","01H-CO-1","01H",2015-09-11,"A",3,1,0,0,0,1
"73","01H-CO-3-05","5","5","","CO",1,"3","01H-CO","01H-CO-1","01H",2015-09-11,"A",3,1,0,0,0,1
"74","01H-CO-3-06","5","5","","CO",1,"3","01H-CO","01H-CO-1","01H",2015-09-11,"A",3,1,0,0,0,1
"75","01H-CO-3-07","AM","AM","","CO",1,"3","01H-CO","01H-CO-1","01H",2015-09-11,"A",3,1,0,0,0,1
"76","01H-CO-3-08","5","5","","CO",1,"3","01H-CO","01H-CO-1","01H",2015-09-11,"A",3,1,0,0,0,1
"77","01H-CO-3-09","AF","AF","","CO",1,"3","01H-CO","01H-CO-1","01H",2015-09-11,"A",3,1,0,0,0,1
"78","01H-CO-3-10","5","5","","CO",1,"3","01H-CO","01H-CO-1","01H",2015-09-11,"A",3,1,0,0,0,1
"79","01H-CO-3-11","AF","AF","2 eggs and 1st instars on 9/18","CO",1,"3","01H-CO","01H-CO-1","01H",2015-09-11,"A",3,1,0,0,0,1
